,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
1529,1529,17,All Source Intelligence Analyst,2013-10-31,Former Employee,"Auburn Hills, MI","typical corporate culture and lifestyle if you do not make cars in this business then you fall to the bottom of the priority list for promotions and benefits, therefore, this makes it difficult to advance as management seems to be more concerned about their own self-advancement insteadoverall a good place to work and learn, just difficult for any sort of growth",Typical Corporate Culture,0.4228,0.811,0.074,0.115,Positive,1.0,0.09047619047619047,0.6571428571428571,363,Positive
1527,1527,15,"Material Manager, /Production Supervisor",2013-11-03,Former Employee,"Chrysler, Trenton, Michigan",the most enjoyable part of my job was managing a great team of workers a typical day of work would be completing a full day of production with regards to quality also safety and quality went hand in hand love working with this company,Outstanding while working I was allowed to continue my education.,0.967,0.628,0.0,0.372,Positive,1.0,0.4138888888888889,0.5833333333333334,234,Positive
1526,1526,14,"Executive Assistant, Call Center Operator, Analyst",2013-11-04,Former Employee,"Detroit, MI",i enjoyed working for this company and i learn diversity and team work,a great company to work for,0.5106,0.752,0.0,0.248,Positive,1.0,0.5,0.7,70,Positive
1525,1525,13,Assembly Line Worker,2013-11-04,Current Employee,"Detroit, MI","its a good learning process everyday i learn something new, working with different people and machinery",Productive,0.4404,0.818,0.0,0.182,Positive,1.0,0.15909090909090906,0.5636363636363637,103,Positive
1524,1524,12,Jitney Repair Manager,2013-11-05,Current Employee,Sterling Stamping,"as a member of management i do not find support from the upper management there is no room for advancement if you do not play the political games you go through yearly appraisals that do not reflect your accomplishments but how well you are liked by the staff,",Chrysler review,0.5578,0.787,0.091,0.122,Positive,1.0,0.19999999999999998,0.3,260,Negative
1523,1523,11,Production Worker,2013-11-06,Former Employee,OH,was their for they laid us off but it was a good evironment i wish i was still their i love to work in warehouse fieldi love fast pace work and also so learn different things,A very productive workplace fast pace,0.9682,0.596,0.0,0.404,Positive,1.0,0.38,0.6000000000000001,174,Positive
1522,1522,10,Line Worker,2013-11-07,Current Employee,"Detroit, MI","great place to work, as long as you can get enough hours the team leaders i have worked with are very helpful",Line work,0.8016,0.725,0.0,0.275,Positive,1.0,0.2375,0.4875,109,Negative
1521,1521,9,Sales Rep.and Advisor,2013-11-07,Former Employee,"Schaumburg, IL","low sales in fiat dpt not many customersmanagement oksales and advisor to new ptential customers, doc prep",sales,-0.2732,0.884,0.116,0.0,Neutral,-1.0,-0.03787878787878788,0.4181818181818182,106,Positive
1520,1520,8,Program Development Leader,2013-11-08,Former Employee,"Columbus, IN","working within the chrysler group was a great experience, excellent boss with great management and help",Excellent,0.9393,0.43,0.0,0.57,Positive,1.0,0.8666666666666667,0.8333333333333334,103,Positive
1518,1518,6,Test Driver,2013-11-14,Current Employee,"Chelsea, MI","i am a temporary employee and have no job security i do the work of the full-time employees without much hope for advancement to their status the job itself, test driving vehicles, is enjoyable and i would like to remain at this time there is no job security due to a reduction in vehicles to drive",No security in my job position.,0.5258,0.721,0.112,0.167,Positive,1.0,0.19166666666666665,0.39166666666666666,298,Positive
1519,1519,7,Tech III,2013-11-14,Former Employee,"Huntsville, AL","learned most of my electronic background here, very informative, very comprised and efficient company",Great Company to work for,0.4703,0.809,0.0,0.191,Positive,1.0,0.3,0.3666666666666667,101,Positive
1517,1517,5,Outbound Logistics Team leader,2013-11-15,Former Employee,TAPPAN NY,worked here for years was great until we were boughtout by diamler,Good work place,0.6249,0.728,0.0,0.272,Positive,1.0,0.8,0.75,66,Positive
1515,1515,3,Engineer,2013-11-17,Current Employee,"Aubrun Hills, MI",its a good place to work you are always busy doing something to make the place better,Fun place to work if into car culture,0.7003,0.707,0.0,0.293,Positive,1.0,0.4333333333333333,0.46666666666666673,85,Positive
1516,1516,4,Assemble Repair Tech and Inspector,2013-11-17,Former Employee,"Fenton, MO","typically i would float ""fill in"" until all line spots were filled then i would move to a repair, inspection or relief man position this made me valuable knowing all jobs overall, the workers brought a fun environment to work around the hardest part of the job was learning a job that wasn't ergonomically correct the people and learning new jobs was the most enjoyable part of the job",Productive Plant with a great place for advancement,0.9134,0.825,0.0,0.175,Positive,1.0,0.23852813852813853,0.45064935064935063,385,Positive
1514,1514,2,Aerothermal Engineer,2013-11-18,Current Employee,"Auburn Hills, MI","a typical day at work involves root causing various issues from feedback vehicles, implementing the engineering changes and understanding the change processes often, travel is necessary to the assembly plants and suppliers i've learned so much, especially how a product starts from concept and ends up at the dealershipi've been fortunate to get much management experience, my position requires that i take responsibility of a product (jeep cherokee), and manage the suppliers for my partsthe most difficult part of the job is also the most fun, having to deal with a problem and am given no guidance on how to solve it it really has improved my ability to get answers and provide solutionsthe most enjoyable part of the job is how much freedom i have at work i am able to be creative and create my own methods to finishing my responsibilities",Challenging and fast pace engineering work.,0.9563,0.785,0.049,0.167,Positive,1.0,0.24901960784313726,0.6014705882352942,843,Negative
1513,1513,1,File Clerk,2013-11-20,Former Employee,"Paramus, NJ",everyday is very productive; the managers were very fair and nice and i liked the flexible hours that i had,Very productive work environment,0.854,0.575,0.0,0.425,Positive,1.0,0.422,0.74,107,Positive
1510,1510,19,Production Operator,2013-11-22,Current Employee,"Detroit, MI","work is very intense work days start very early with long shifts i cover whoever doesn't come in i learn i can do anything and i learn very fast i catch on to jobs quickly i'm one of the only people in my are that knows every job on every team they call me super floater the labor is very physical and body straining they don't particularly care about the worker, they care about money we do not get amazing bonuses like other motor companies even though they make a lot of money off of us the medical leave benefits are horrible most of the people in there are miserable and they take that out on their fellow worker it's not the friendliest environment but it pays very well the hardest part of the job is the hours and the work the enjoyable part is getting paid every week and having security",Manual Labor,0.5317,0.792,0.103,0.106,Positive,1.0,0.06519607843137254,0.5841596638655462,796,Positive
1511,1511,20,Internet Sales Manager,2013-11-22,Former Employee,"Yonkers, NY",assist clients with the purchase of new or pre-owned vehicle,auto sales environment,0.0,1.0,0.0,0.0,Neutral,0.0,0.13636363636363635,0.45454545454545453,60,Positive
1509,1509,18,Assembler,2013-12-01,Former Employee,"Kokomo, IN",it was a really good place to work had good benefits management was mostly fair sometimes got to work overtime,Good work enviroment,0.883,0.571,0.0,0.429,Positive,1.0,0.6999999999999998,0.7000000000000001,110,Positive
1508,1508,17,Quality Engineer,2013-12-02,Former Employee,"Sterling Heights, MI","drove into plant everydaylearned how to build a carmanagement cordialco-workers tolerablehardest - handling ""assembly-plant"" lifeenjoyable - handling ""assembly-plant"" life",Worked at Assembly Plant,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,171,Positive
1507,1507,16,Technician,2013-12-03,Former Employee,"Monroeville, PA",fiat had ust opened up and the service department wasn't very well managed it was kind of chaotic technicians were doing phone answering etc,Difficult,-0.673,0.799,0.201,0.0,Neutral,-1.0,0.4,0.6,140,Positive
1506,1506,15,Power Washer/Inspector,2013-12-04,Former Employee,"Garden City, MI","learned some new skills i wish i had more time with the company to progress and become more of an asset to the company do to the temporary position, i didn't have time to grow",Productive job,0.8055,0.778,0.0,0.222,Positive,1.0,0.37878787878787873,0.48484848484848486,175,Positive
1505,1505,14,Production Worker,2013-12-04,Former Employee,"Fenton, MO","i've learned how to work a lot of robotic tools, chrysler was a great work place i got along with a lot or employees, & supervisor & the money was great!!!!",productive assembly line,0.7405,0.82,0.0,0.18,Positive,1.0,0.5666666666666668,0.5666666666666667,156,Positive
1504,1504,13,"Design & Release Engineer, Wheel Group",2013-12-04,Former Employee,"Auburn Hills, MI",there is more work assigned to engineers than they can possibly do and benefits are ever decreasing no pay raise for years,"High pressure, fast-paced work environment",0.0,0.754,0.143,0.103,Positive,0.0,0.25,0.75,122,Positive
1503,1503,12,Forklift Operator,2013-12-09,Former Employee,"Belvidere, IL","i learned to operate a forklift in a safe and correct way i was responsible for unloading and distributing glass to the proper place withing the plant the managers i was in contact with on a daily basis were great people, very friendly and courteous there really wasn't a hard part of my job i thoroughly enjoyed my job each and every day the people i worked with were wonderful, respectful and great to be around",Great people and great company,0.9853,0.638,0.0,0.362,Positive,1.0,0.40737179487179487,0.5724358974358975,413,Negative
1502,1502,11,Assembly Worker,2013-12-10,Former Employee,"Belvidere,Illinois",chrysler was a great place to work atypical day was being on your feet the entire day working the assembly line you worked with six people on your team and rotated to six different stations all with different tasks the team was friendly everyone got along the immediate supervisor was excellent trained you very well and was always willing to lend a hand i enjoyed the job as a whole just wish it was closer to where i lived because the travel time was a bit much,"Fast paced, enjoyable environment and friendly people",0.9705,0.766,0.0,0.234,Positive,1.0,0.29375,0.5520833333333334,463,Positive
1501,1501,10,Assembler,2013-12-10,Former Employee,"Belvidere, IL","friendly people and a good company to work foroffered in plant classes to help better you job ,health and education",Like the way my supervisors treated me and other employees,0.8934,0.562,0.0,0.438,Positive,1.0,0.525,0.5333333333333333,115,Positive
1500,1500,9,ASSEMBLER/DOOR-FITTER/TRAINER/REPAIRMAN,2013-12-10,Former Employee,Delaware/Illinois,the hours were kind of hard to get usew to but other than that i loved the job,Productive Good people,0.7187,0.691,0.062,0.247,Positive,1.0,0.22083333333333333,0.6541666666666667,78,Positive
1499,1499,8,Analyst,2013-12-11,Former Employee,Burr Ridge,i was hired thinking that there was work life balance not so much we have been through cfo's in the / years i have been here and the expected work hours has increased a lot expected to work weekends and ungodly hours during reporting cycles with no appreciation for our efforts management team are all introverts that have no clue how to manage people,No work life balance,0.25,0.851,0.067,0.082,Positive,1.0,0.0,0.3333333333333333,351,Positive
1497,1497,6,Student Video Systems Engineer,2013-12-16,Former Employee,"New Castle, IN",good working technical school for learning electronic systems,Summary,0.4404,0.707,0.0,0.293,Positive,1.0,0.35,0.35000000000000003,61,Positive
1498,1498,7,Industrial Engineer,2013-12-16,Current Employee,"Sterling Heights, MI",if you are a new graduate this is a good company you will learn of alot very fast,great company to start with,0.4404,0.838,0.0,0.162,Positive,1.0,0.3654545454545454,0.6115151515151516,81,Positive
1496,1496,5,Industrial Maintenance Technician,2013-12-17,Former Employee,"New Castle, IN","i loved the job i had a chance to work with a lot of really good people the job was different every day i never knew what was going to happen i like a good challenge because it keeps me on my toes the company was great, wages were great, insurance was great and i have no complaints",Challenging every day.,0.9735,0.54,0.068,0.393,Positive,1.0,0.6428571428571427,0.6928571428571428,282,Positive
1495,1495,4,Production Engineer,2013-12-18,Former Employee,"Detroit, MI","i like the company this is a good company to work for, i have nothing bad to say about the company",good,0.8047,0.645,0.0,0.355,Positive,1.0,5.551115123125783e-17,0.6333333333333333,98,Positive
1494,1494,3,Environmental Service Clerk,2013-12-21,Former Employee,"Twinsburg, OH","i would clean offices, restrooms, break-rooms daily mopping, sweeping, vacuuming being there taught me how certain parts of the car is made people who worked at the plant and through the company i worked for worked well together the hardest part of the job would be working in the it where the oil was because you could fall and get hurt after working there for awhile we had hopes of getting employed there until the last minute but i enjoyed working there",Great place to work if it did not close,0.7964,0.844,0.025,0.131,Positive,1.0,0.2161904761904762,0.4076190476190476,457,Positive
1493,1493,2,member of Kshitij - FIAT's cultural forum,2013-12-21,Former Employee,any where,"• focused on drafting a detailed action plan with the shop in-charge for the line efficiencies and looses• analyzing and defining production processes early in product development cycle• optimizing and streamlining manufacturing processes• creating and presenting a report outlining the key problems, analysis and solutions to the top-management","•	Facility and Equipment planning,",0.8126,0.725,0.05,0.225,Positive,1.0,0.15,0.5375,345,Positive
1492,1492,1,Sales Consultant Don Davis Auto Group,2013-12-23,Current Employee,"Bay City, TX","as you walk in the door you can already feel the day start moving quickly i've learned a great deal in sales, marketing and advertising the managers there are always there to help",Very pro-active lifestyle,0.7783,0.815,0.0,0.185,Positive,1.0,0.5666666666666667,0.625,179,Negative
1490,1490,20,Custodian,2013-12-23,Former Employee,"Auburn Hills, MI",clean and paint is what i did wore many hats at this location,Same as other chrysler position,0.4019,0.803,0.0,0.197,Positive,1.0,0.43333333333333335,0.6000000000000001,61,Positive
1489,1489,19,Account Representative,2013-12-26,Former Employee,"Oklahoma City, OK",i called on past due accountsi worked with customer to repair there credit,Phone Collections,0.3818,0.809,0.0,0.191,Positive,1.0,-0.1875,0.3125,74,Negative
1488,1488,18,Model Controller - Ram Light Duty Truck,2013-12-27,Former Employee,"Auburn Hills, MI","fast paced, always evolving, with new expectations one has to be flexible and committed to getting a job done",A very fast paced environment,0.4588,0.8,0.0,0.2,Positive,1.0,0.16818181818181818,0.5272727272727272,109,Positive
1487,1487,17,Production Operator,2013-12-31,Former Employee,"Toledo, OH","get there before normal people wake up, but fight the traffic on because you go home at the same time they do clock in dark-and-early, head to your work station, and preform the station's operation times the hardest part of the job was coming in the next morning the best of the job was the feeling you get on saturday when you clock out most people that work there are honest hard-working people, and some are actually very friendly and helpful management was unfortunately, typical management, as the rules in place gave bosses/team leaders little to no ""wiggle-room"" to suit personal needs","Monotonous, hard labor",0.9319,0.76,0.072,0.168,Positive,1.0,0.23833333333333334,0.4425,592,Positive
1484,1484,14,Advance Quality Engineer,2014-01-05,Current Employee,"Warren, MI","work is never the same on a daily basis, great colleagues and manager to work with and never a dull moment at work",Productive and never dull moment place to work,0.7475,0.749,0.0,0.251,Positive,1.0,0.23645833333333335,0.34375,114,Positive
1486,1486,16,Service Advisor,2014-01-05,Former Employee,"Culpeper, VA",great dealership to work for in a small town environment i enjoyed my time working there but decided to relocate,Small Town Dealership,0.5719,0.773,0.0,0.227,Positive,1.0,0.35000000000000003,0.6166666666666666,112,Negative
1485,1485,15,Detail Manager,2014-01-05,Former Employee,"Buford, GA",working at a car dealership had its ups and downs a typical at work would stem from my detailing a clients car to my best abilities to me almost having to sell the car but while i was there i learn that in life you can progress depending on you and only you i say that because a fellow employee was brought up to the front to be a salesman management was pretty cool need everything to be done right the first time and i respected that the downs about the dealership is when you get a customer come al the way to the back and watch your every step and dont want to leave with the car unless its done the way they wanedt itl actually like working there because of the experience it was it was something new like a different aspect and way of thinking you never thought existedyea so thats the car dealership,Working at a car dealership,0.9766,0.828,0.008,0.164,Positive,1.0,0.19140102321920505,0.4975993703266429,806,Neutral
1483,1483,13,Receptionist/Mail Room Clerk,2014-01-08,Former Employee,"Carol Stream, IL",liked working here as great co-workers was able to grow within,Company closed down,0.7845,0.566,0.0,0.434,Positive,1.0,0.6333333333333333,0.725,62,Positive
1482,1482,12,Driver,2014-01-09,Former Employee,"Taylor, MI","a typical day at work was just driving cars all day, easy work i learned how to relax behind the wheel and became a better driver not for just the job but for myself management was organized because i knew who i worked for and gave me my check my co-worker was cool as well didn't have any problems really no hard part really about driving at first i was just young minded about it driving fast pretty much but now i am more relaxed and take my time what i enjoyed most about the job was the opportunity to work and make money",Fun workplace,0.9783,0.695,0.044,0.261,Positive,1.0,0.2375,0.5438888888888889,526,Positive
1481,1481,11,Automotive Technician,2014-01-10,Former Employee,"Franklin, TN","not a bad place to work not so steady work flow great group of techs to work with , very good had a lot of management changes ",Franklin dodge,0.8791,0.674,0.0,0.326,Positive,1.0,0.5566666666666666,0.6741666666666667,126,Positive
1480,1480,10,Sales Manager,2014-01-12,Former Employee,"Michigan City, IN",sale vehicles while establishing and maintaining relationships that lead to future sales,Sale cars,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.125,88,Positive
1479,1479,9,Senior Systems Engineer,2014-01-14,Former Employee,"Auburn Hills, MI",managing sccm environmentmanging group policymanage/deploy security patches,Work environment is ok,0.34,0.714,0.0,0.286,Positive,1.0,0.0,0.0,75,Positive
1478,1478,8,Machine Operator/Iron Pourer/General Labor,2014-01-16,Former Employee,"Indianapolis, IN",i had very little seniority so in a typical day i may end up working in any department doing any task i learned the importance of being a team player and being dependable chrysler corp had a great management team and a great group of co-workers the hardest part of the job was having to endure the extreme heat and the hard manual labor the most enjoyable part of the job was the really good salaries and my learning experience being i was such a young man in the presence of men much older than myself,Hard work but very productive and fun enviroment,0.9492,0.814,0.014,0.172,Positive,1.0,0.22829861111111108,0.5937499999999999,502,Negative
1477,1477,7,Operations Planner,2014-01-17,Current Employee,"Auburn Hills, MI","my typical day would be where i can manage my own day and time flexibility is everything to me, work life balance is very important is to me",Typical work day,0.5413,0.848,0.0,0.152,Positive,1.0,0.31777777777777777,0.8333333333333334,140,Positive
1476,1476,6,KBE Engineer,2014-01-20,Current Employee,"Auburn Hills, MI","nothing special, nothing badjust like any other oemexpect no rewards for extra work",A good place if you can work direct,-0.3544,0.482,0.352,0.166,Positive,-1.0,0.07738095238095238,0.34880952380952385,83,Positive
1475,1475,5,Fuel Systems Engineer,2014-01-20,Current Employee,"Auburn Hills, MI","i am a fuel systems product engineer my job entails coordinating the design of parts from proposed cad data to suppliers, testing the resulting parts and validating their performance, altering the design of the parts where needed to meet performance and safety specifications, and coordinating between the suppliers and the vehicle assembly plants the assembly of the parts into full vehiclesi've gained insight into program management and supply control, though my current job has little to do with engineering design the management and co-workers are competent, knowledgeable, and encourage working together in a team to accomplish tasks from my position there is ample opportunity for excellence and advancement, and as chrysler is a large company there are multiple departments to move around to if i tire of my current responsibilities",Good opportunities for moving around in the company to gain experience,0.9686,0.835,0.0,0.165,Positive,1.0,0.12525510204081633,0.42074829931972785,840,Positive
1474,1474,4,Operations Manager,2014-01-20,Former Employee,"Tappan, NY",chrysler is great the people are friendly and the company is strong,Chrysler Group LLC,0.891,0.459,0.0,0.541,Positive,1.0,0.5361111111111111,0.6611111111111111,67,Positive
1473,1473,3,Development Engineer,2014-01-21,Current Employee,"Auburn Hills, MI",it's a fantastic experience working for chrysler everyone is easy to work with and willing to help stressless environment with a flexible schedule i learned so much about project management and coordination i learned how to work with suppliers and getting parts on time,"Unique opportunities everyday.  Calm, well paced environment.",0.9136,0.719,0.0,0.281,Positive,1.0,0.32083333333333336,0.6708333333333334,269,Positive
1472,1472,2,Assembly Technician,2014-01-21,Former Employee,"Fenton,Mo.","assembling various engine parts for the mini van and truck line i learned how to work at a fast pace using various power tools management was rarely seen on the production floor, all my coworkers seem to get along fine making it a fun place to work the hardest part of this job was losing it, i loved getting paid every thursday",fast pace assembly work,0.7506,0.823,0.04,0.137,Positive,1.0,0.27380952380952384,0.5714285714285714,328,Positive
1471,1471,1,Worker,2014-01-23,Current Employee,"Detroit, MI","this company pays great, but your home life will suffer the hours are horrible because the shifts have you working morning shifts of hours and midnights in the same week",Pros and Cons,-0.8381,0.691,0.243,0.065,Positive,-1.0,-0.06666666666666665,0.625,169,Negative
1469,1469,20,Production Assembly Worker- TPT,2014-01-25,Current Employee,"Toledo, OH",i love the job but it is to far for me to drive also the company is not trying to hire part time workers in,Good People but to far,0.3818,0.898,0.0,0.102,Positive,1.0,0.3,0.8,107,Negative
1468,1468,19,Production Supervisor,2014-01-27,Current Employee,"Sterling Heights, MI",the pay is good the hours are long working with the union is fun too,Long Hours,0.7003,0.612,0.071,0.316,Positive,1.0,0.31666666666666665,0.39999999999999997,68,Positive
1467,1467,18,Transporter,2014-01-28,Former Employee,"Paramus, NJ",i enjoyed working with the service dept and helping customers i learned to communicate with the public in a proffesional manneri transported costumers while their cars were being serviced i also enjoyed the independence of the job overall it was a great experience and add on to my resume the company was going out of buisness at the location i was employed and my time their wasn't to long for a transfer,Productive place to work,0.9169,0.825,0.0,0.175,Positive,1.0,0.2916666666666667,0.4361111111111111,405,Positive
1466,1466,17,Head Repairman,2014-01-28,Former Employee,"Detroit, MI",a typical day at the chrysler would entail me checking into my work station mins before my shift and talking to my supervisor to find out what needed to be done i learned how important the process is when it comes to lean manufacturing i became fascinated with the concept of supply chain and inter-plant logistics i noticed that the style of management varied from one team to another and that each manager took a different approach to get the most out of their respective teams i truly enjoyed my co-workers every day that i worked at the plant they made me want to come in everyday and find out what was going to happen next the hardest part of the job would be that fact that it was a manual labor job and that i had to keep my self in tip top physical condition in order to avoid injury i enjoyed the fact that i was a solid contributor to such a great company,It was a fast pace high pressure work environment with great people and good leadership.,0.9584,0.82,0.029,0.151,Positive,1.0,0.20238095238095236,0.47806122448979593,865,Positive
1465,1465,16,Autonomous Maintenance Supervisor,2014-01-29,Former Employee,"Detroit, MI","typical day at work would including scheduling time and dates when to perform activities, completing data entry, board meetings with the plant manager and center managers of the plant i learned management and supervisory skills, leaderships skills, board room skills most enjoyable part was overcoming difficulties and completing my job and daily tasks",Productive work place.,0.2484,0.903,0.04,0.058,Positive,1.0,0.14666666666666667,0.34,352,Positive
1464,1464,15,Operator/Fill-in,2014-01-29,Former Employee,"Belvidere, IL",on a typical day at work in my position you get put on a job that someone who called in for would be doing it was nice being able to be trained in so many different areas and not having to do the same exact thing every seconds for hours everyday i liked management but i didn't like that on most occasions the union had power over management making it harder for them to do their job and harder for us to succeed as a company i had some hard working co-workers got along with them very well we were all focused on safety and made sure to help each other if someone fell behind there really wasn't any hard aspects of the job other than adjusting to different positions and general soreness from sustaining that for hours at a time the most enjoyable part of the job was being recognized for hard work and dedication,Wasn't Bad,0.9739,0.788,0.043,0.169,Positive,1.0,0.11233333333333335,0.48655555555555546,815,Positive
1463,1463,14,"MACHINIST, TOOLMAKER/MACHINE REPAIRER",2014-01-31,Former Employee,"Huntsville, AL","enjoyed just being a part of the auto industry, was legacy for me my dad was employed at ford ,chrysler thru most of his life, and i had ties to auto industry from the time i started working in the trade","really a good job ,stress free",0.5106,0.918,0.0,0.082,Positive,1.0,0.5,0.6,203,Negative
1462,1462,13,Project Engineer,2014-01-31,Current Employee,"Auburn Hills, MI",blooming with activity lots of new innovative projects challenging targets,.,0.5423,0.64,0.0,0.36,Positive,1.0,0.37878787878787873,0.8181818181818182,74,Negative
1461,1461,12,Financial Analyst - Foreign Funds,2014-02-02,Current Employee,"Auburn Hills, MI",a great company with many different departments where various skills can be obtained many job rotations are available as well as many opportunities to network and grow professionally,A lot of opportunities for growth and many various departments to gain experience from,0.8316,0.732,0.0,0.268,Positive,1.0,0.35000000000000003,0.48125,182,Positive
1460,1460,11,Wood Worker,2014-02-03,Former Employee,"Coal Valley, IL",at fca manufacturing i would get there and go to my work station load my nail gun and build pallets i would work with another person and work as a team i never had problems with anyone and i felt comfortable working there i practiced my measuring skill at this job making the skill better,fun job wher traveling is required,0.7234,0.806,0.043,0.151,Positive,1.0,0.45,0.65,288,Positive
1459,1459,10,Inventory control / accounts recieveable & payable,2014-02-04,Former Employee,Centerline MI,making sure inventory came in from suppliers also worked in ny doing accounts recieveable and payables,Great place to work,0.3182,0.867,0.0,0.133,Positive,1.0,0.5,0.8888888888888888,102,Positive
1458,1458,9,Production Worker/Team Leader,2014-02-05,Former Employee,"Sterling Heights, MI",very productive full filling days in the sense of building a great product that is in demand and being able to wake up every day that you are a good provider for your family,Productive,0.7579,0.773,0.04,0.187,Positive,1.0,0.51,0.5650000000000001,173,Positive
1457,1457,8,Project Chief,2014-02-05,Current Employee,"Auburn Hills, MI",new work culture with perfect work-life balancedelivering world class products,Excellent Work-Life Balance,0.5719,0.709,0.0,0.291,Positive,1.0,0.5681818181818181,0.7272727272727273,78,Positive
1456,1456,7,Product Specialist/Off-site Advertising,2014-02-06,Former Employee,"Thousand Oaks, CA","i'd say when you come to work in the morning and your main responsibility is to impress perspective buyers with a vehicle that you yourself are impressed with is a pretty rewarding experiencemy job at fiat was to get the word out to the public that fiat was back and better than ever, and to share with everyone it's features and why it was the sub-contact vehicle they should purchase! i learned so much about things i never thought i'd learn and realized that i love working for the auto industry!",One of my favorite jobs!,0.9701,0.778,0.0,0.222,Positive,1.0,0.3740740740740741,0.5222222222222221,499,Positive
1455,1455,6,Unit Leader,2014-02-06,Former Employee,"Detroit, MI","the pay is good, the hours are long and stressful, the union has way more say so then management the workforce is young and careless the hardest part of the job is dealing with the various attitudes and motivating the team members",Long Hours no Praise,-0.0258,0.736,0.143,0.121,Positive,0.0,0.125,0.5499999999999999,230,Positive
1454,1454,5,Supervisor,2014-02-12,Current Employee,"Auburn Hills, MI",flexible good place to work career growth is biased fresh graduate can learn a lot in short time,Good automotive company to work for.,0.765,0.504,0.088,0.408,Positive,1.0,0.3333333333333333,0.46666666666666673,96,Positive
1453,1453,4,"JEEP AND FIAT, Finance Manager",2014-02-13,Former Employee,"Signal Hill, CA",just like any job there were good day and some bad ones but that's the nature of the car business,fun work place,0.1154,0.741,0.098,0.161,Positive,1.0,5.551115123125783e-17,0.6333333333333333,97,Positive
1452,1452,3,Business Analyst/Corporate Trainer,2014-02-15,Former Employee,"Auburn Hills, MI","as a corporate instructor/liaison/project coordinator, i was privileged to work in many various facets of the automotive industry this position enabled me to learn various aspects of a functioning organization at a large scale i was able to travel to many states and share/teach customized software to engineering, manufacturing and supplier groups (tier , , ) this was the inception of gaining knowledge and experience and the desire to work in a team-building atmosphere",Cultural Diversity,0.8126,0.881,0.0,0.119,Positive,1.0,0.2448979591836735,0.4362244897959184,472,Positive
1451,1451,2,Job Setter,2014-02-17,Former Employee,"Kokomo, IN","good pay, strong management team, lot of overtime, good management team",good pay,0.8271,0.4,0.08,0.52,Positive,1.0,0.611111111111111,0.6444444444444445,71,Positive
1450,1450,1,Line Operator,2014-02-18,Former Employee,"Belvidere, IL","they were mean , dont care about your family, dont care about life, all they want is that car out the door",worst job ever not good,-0.6067,0.733,0.214,0.053,Positive,-1.0,-0.3125,0.6875,106,Positive
1448,1448,20,Assembly Line Worker,2014-02-19,Former Employee,"Belvidere, IL",besides the obvious physical labor that is required this is a good place to work the pay is well great team environment hours are stable and you know what your doing that day when you wake up in the morning,Great place,0.872,0.728,0.03,0.242,Positive,1.0,0.375,0.4982142857142857,206,Positive
1447,1447,19,Financial Service Specialist,2014-02-21,Former Employee,"Greenville, SC","responsible for general office duties, credit investigation, processing and approving loans, collecting on accounts, and accounts payable and receivable i also took inbound calls while processing loans over the years i have obtain several different skills such as, time management, excel and word, data entry i worked well with my manager co-workers the hardest part of my job was to taken breaks i enjoyed working in a close working environment",Job Summary,0.9062,0.819,0.0,0.181,Positive,1.0,0.125,0.4749999999999999,445,Positive
1446,1446,18,P/T Manufaturing,2014-02-25,Current Employee,"Belvidere, IL","busy, friendly environment co-workers are very helpful",Productive,0.7425,0.443,0.0,0.557,Positive,1.0,0.225,0.3666666666666667,54,Positive
1445,1445,17,Electrical Design Release Engineer,2014-02-25,Current Employee,"Auburn Hills, MI",great coworkers and culture fast paced and enriching work,Relaxed and enjoyable,0.6249,0.661,0.0,0.339,Positive,1.0,0.5,0.675,57,Positive
1444,1444,16,Operator,2014-02-25,Current Employee,"Belvidere, IL",i have worked with them for almost years now and i feel like no more than a tool for them your success is not something that they promote,Management,0.765,0.656,0.069,0.275,Positive,1.0,0.024999999999999994,0.25,137,Positive
1442,1442,14,Endurance Driver,2014-02-27,Former Employee,"Yucca, AZ",very fun job i worked graveyard and the nights would fly by,Endurance Driver,0.3384,0.608,0.149,0.243,Positive,1.0,0.595,0.5800000000000001,59,Positive
1443,1443,15,Assembly Line Worker,2014-02-27,Current Employee,"Sterling Heights, MI","fast paced environment, great co-workers a typical work day consist of building a minimum of cars the hardest part of the job consists of lots of bending and turning the most enjoyable part is meeting weekly quotas",Productive,0.807,0.819,0.0,0.181,Positive,1.0,0.3666666666666667,0.5900000000000001,214,Negative
1441,1441,13,Parts Specialist,2014-02-28,Former Employee,"Naperville, IL","loved this job i just wish the would have put me on full time for i didn't have to move on and find something that was the had great pay and benefits the people there were great and the management was alway on point and seemed to love there job all though the long term workers seem to complain a lot, it was a good job the have i would definitely go back of they offered me a full time position",warehouse Work,0.9758,0.676,0.041,0.283,Positive,1.0,0.461111111111111,0.5555555555555556,395,Positive
1440,1440,12,Powertrain Engineer,2014-03-02,Former Employee,"Auburn Hills, MI",management at chrylser would rather point fingers and blame employees then fix their dysfunctional internal systems and processes,"Unrealistic expectations, useless management",-0.34,0.876,0.124,0.0,Neutral,-1.0,0.0,0.0,129,Positive
